PEDON_ID,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,CaO,Na2O,MgO,K2O,Fe2O3_mol,MnO_mol,P2O5_mol,SiO2_mol,TiO2_mol,ZrO2_mol,Al2O3_mol,CaO_mol,Na2O_mol,MgO_mol,K2O_mol,lCaO,cl_MAP,cl_MAT,Till,SubglacialTill,lCaO_mol,PRESS,factor1,factor2,factor3,factor4
04N1034,7.76,0.05,0.11,53.56,1.15,0.01,10.96,0.29,0.63,0.43,1.88,0.49,0.01,0,8.91,0.14,0,1.07,0.05,0.1,0.11,0.2,-1.237874356,1228.89,8.02,,,-2.995732274,-69.6823603,0.905576254,0.598404629,0.318284338,0.217777614
04N1035,5.42,0.07,0.09,64.81,0.8,0.01,12.74,1.03,1.22,1.35,1.84,0.34,0.01,0,10.79,0.1,0,1.25,0.18,0.2,0.34,0.2,0.029558802,1221.19,7.965,,,-1.714798428,216.6069228,-0.063677104,0.007970125,0.417959928,-0.010607868
04N1090,5.29,0.04,0.09,61.26,1.33,0.02,15.28,0.11,0.07,0.18,0.86,0.33,0.01,0,10.2,0.17,0,1.5,0.02,0.01,0.05,0.09,-2.207274913,1271.21,14.085,,,-3.912023005,-127.1907976,1.68078181,1.470814564,-0.166071087,-0.926507961
04N1103,5.1,0.1,0.14,68.74,0.84,0.02,11.85,1.86,1.84,1.25,2.12,0.32,0.01,0.01,11.44,0.1,0,1.16,0.33,0.3,0.31,0.23,0.620576488,575.53,8.09,,,-1.108662625,-232.7995647,-0.585357734,-1.059502254,0.518135075,0.058260674
04N1105,5.15,0.11,0.14,70.46,0.9,0.03,12.87,1.49,1.8,1.14,2.13,0.32,0.02,0,11.73,0.11,0,1.26,0.27,0.29,0.28,0.23,0.39877612,655.15,7.545,,,-1.30933332,-207.8413734,-0.447614876,-0.756939138,0.693919427,-0.201874625
04N1153,3.34,0.03,0.04,72.54,0.57,0.03,10.4,4.64,0.78,1.08,2.12,0.21,0,0,12.07,0.07,0,1.02,0.83,0.13,0.27,0.22,1.534714366,569.52,13.525,,,-0.186329578,-205.2896349,-0.907844399,0.661646283,-0.143518295,-0.183005122
04N1154,1.11,0.01,0.03,52.87,0.27,0.02,4.12,22.46,0.42,0.44,1.34,0.07,0,0,8.8,0.03,0,0.4,4,0.07,0.11,0.14,3.111735949,580.56,13.535,,,1.386294361,323.1641586,-1.541503444,1.230368605,-3.856048391,0.062520771
04N1155,2.62,0.03,0.07,56.17,0.44,0.02,8.33,16.17,0.62,1.12,1.7,0.16,0,0,9.35,0.06,0,0.82,2.88,0.1,0.28,0.18,2.783157674,553.51,13.45,,,1.057790294,53.69374591,-1.024790507,0.776714518,-2.528171867,0.023352411
04N1156,3.62,0.04,0.07,74.19,0.63,0.03,11.61,1.04,1.13,1.17,2.52,0.23,0.01,0,12.35,0.08,0,1.14,0.18,0.18,0.29,0.27,0.039220713,537.19,13.46,,,-1.714798428,-259.734227,-0.908975895,-0.071649815,0.673780024,-0.300371234
04N1157,3.47,0.05,0.12,76.24,0.6,0.03,11.19,1.19,1.07,1.12,2.58,0.22,0.01,0,12.69,0.07,0,1.1,0.21,0.17,0.28,0.27,0.173953307,542.04,13.56,,,-1.560647748,-220.5229397,-1.03573098,-0.000116023,0.643924333,-0.366629813
05N0109,8.36,0.08,0.09,51.36,1.37,0.01,13.5,0.27,0.47,1,1.72,0.52,0.01,0,8.55,0.17,0,1.32,0.05,0.08,0.25,0.18,-1.30933332,1256.28,8.01,,,-2.995732274,-177.3303193,1.491608444,0.62713846,0.253685543,0.193290907
