cl_MAP,cl_MAT,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,Na2O,MgO,K2O,lCaO,factor1,factor2,factor3,factor4
452.51,3.855,2.09222195,0.057072366,0.114568,56.05967914,0.30058382,0.008915305,6.69185717,1.089095565,2.085572139,1.408866402,2.6916582427,-1.691649301,-1.378068713,-1.675324949,0.0549735453
316.42,2.585,2.659708379,0.053198676,0.17987176,62.8286631,0.331442869,0.009185465,7.894199887,0.969402884,1.692205638,1.631008312,1.8242647411,-1.4890378,-1.003793567,-1.246960571,-0.138045486
282.41,15.8,4.713182831,0.107042967,0.194994736,66.57839572,0.660383653,0.014048359,12.4556962,1.174956194,1.096185738,3.200578244,0.4304888789,-1.061595687,0.9150093143,-0.552780477,-0.307090172
400.72,4.815,4.258507385,0.066369222,0.100361568,67.27229947,0.524437031,0.020667297,13.35102966,1.4778272,2.253067993,2.625105409,0.9269574255,-1.084527169,0.8029793763,-0.338563783,-0.062204564
357.16,5.29,4.330569154,0.058234473,0.090966992,65.24877005,0.514762302,0.019856815,12.57339883,1.138697938,2.194527363,2.377303939,1.2546212038,-0.959058355,0.2185354305,-0.638789638,-0.260031508
374.97,5.145,4.721189694,0.078377661,0.102882064,67.87294118,0.561968307,0.024854789,13.26695636,1.067259739,1.955555556,2.576918444,-0.10562499,-0.488498883,0.7803278035,0.1304905616,-0.312455957
336.55,5.18,3.767944034,0.09167733,0.110901824,68.44641711,0.50942452,0.023639065,11.97184961,1.245046502,1.590547264,2.370075894,0.0735278155,-0.734331014,0.6997178136,0.009895165,-0.417460224
333.79,5.44,4.403202841,0.070630281,0.1088396,52.03486631,0.481234362,0.020262056,11.46004156,0.924922496,2.871144279,2.087338875,1.3865043348,-0.612101655,-0.292773123,-1.025268446,0.1608464784
412.39,13.9,5.43308562,0.121117374,0.24288416,64.40855615,0.894078399,0.028772119,13.07557151,1.779080739,1.360862355,3.231779304,0.6205779931,-0.589530678,2.1476345287,-0.331880929,-0.565697047
353.66,16.27,2.792107582,0.057459735,0.126253936,53.90588235,0.456046706,0.016614886,8.694691101,1.061868176,1.232835821,2.093121311,2.5560034868,-1.363454362,-0.610236132,-1.73676955,-0.730650433
411.05,15.565,2.898484478,0.055006398,0.15810384,62.7602139,0.492243536,0.018506011,9.210844512,1.141663297,1.047097844,2.209974702,2.0173546305,-1.353620666,-0.136340219,-1.226603516,-0.893714539
1221.17,17.215,3.382327783,0.025953723,0.07332352,73.62374332,1.043035863,0.020262056,12.93349707,0.192748349,0.327860697,0.888447175,-1.532404281,0.7735349453,-1.223857868,0.5023252226,-0.88720528
423.53,6.365,3.865319614,0.066151017,0.091794425,70.51342881,0.497093134,0.015057266,10.72613589,0.824023341,1.371489289,2.397702437,-0.37724801,-0.872407735,-0.007676985,0.2318517879,-0.085164336
1030.4,11.03,5.746051026,0.01732185,0.0644445,64.84862246,0.709831526,0.017301094,9.103948611,0.099017388,0.626522388,1.743263462,-1.939598037,0.367128032,-0.983557416,0.9752139094,0.0262455337
306.7,10.385,4.874674113,0.08092784,0.199598078,69.90405775,0.728305254,0.018193975,13.59547705,1.255981938,2.589439469,3.157356945,1.756025414,-1.22769438,1.0699669436,-0.86433647,-0.256693642
735.58,16.83,2.997936868,0.04464686,0.057811013,75.28250481,0.480138449,0.021510199,3.970999433,0.626216471,0.468293532,1.708283339,-1.333649047,-0.72680173,-0.429654242,1.3898691012,-0.297594119
347.37,9.285,3.130190231,0.04123543,0.174347291,62.22359144,0.432678899,0.018951776,11.06178727,1.17244103,0.907076285,2.767420793,2.0049511963,-1.499448559,0.2686604611,-1.317098271,-1.058948618
347.37,9.285,3.073706101,0.066108394,0.114881916,70.69609412,0.475319433,0.021296772,7.577239751,1.329295053,1.251167496,2.896452235,-0.135939843,-1.431172746,0.9163182877,0.6445956848,-0.092404907
417.4,5.785,2.316700079,0.023629509,0.02635064,65.91957219,0.567806505,0.013778198,11.60532779,0.156220515,0.669154229,1.353692326,-1.959157246,0.0663032399,-1.465832322,0.6130968262,-0.184669285
445.89,7.205,3.230398984,0.056781839,0.170777352,60.91641497,0.492238532,0.017153857,10.0607765,1.341140315,0.875174129,2.069510902,0.6016187255,-0.992764542,0.0355584108,-0.579763377,-0.315577011
387.97,6.21,3.413977123,0.055534725,0.103212703,73.99989863,0.561864601,0.019334474,11.08394442,1.102457071,1.185437365,2.57762074,-0.134013388,-1.035832513,0.5174733615,0.3271608398,-0.397605811
302.96,4.455,2.328710374,0.048292002,0.09394576,71.78502674,0.330442035,0.009590706,7.781787266,0.634182504,1.061691542,1.759908445,1.4893948701,-1.554837762,-1.157658282,-0.856896655,-0.672211568
302.96,4.455,2.479410978,0.052423938,0.098299344,75.22759358,0.349791493,0.009995948,8.256943132,0.616390349,1.104477612,1.917479822,1.3405340416,-1.568219432,-0.943374923,-0.699816614,-0.723700805
356.12,5.22,3.223906276,0.053069553,0.148480128,53.86673797,0.442368641,0.016885047,9.635367466,1.234398167,1.839303483,2.091073365,2.3148848914,-1.294665102,-0.362243938,-1.530211873,-0.303790084
427.77,10.045,3.715205806,0.09591183,0.107044665,75.44080507,0.596694702,0.015002885,11.35175384,1.299671724,1.037859235,2.492201128,0.2347383289,-1.161912431,0.5497575929,-0.032285095,-0.343694002
315.08,2.61,2.560480468,0.046096911,0.063470672,80.2971123,0.339783153,0.006618938,8.278669941,1.633104192,1.135157546,1.739910854,-0.313635455,-1.756498706,-0.178211031,0.6919919972,0.6021878868
368.27,2.4,2.517300598,0.067531329,0.12373344,67.7713369,0.359799833,0.004322572,9.167768751,1.394662353,0.782421227,1.922178051,1.2145840916,-1.776108649,-0.590992208,-0.905510457,-0.023929043
369.19,2.37,3.557477916,0.086641533,0.041473616,71.82780749,0.48323603,0.009320546,10.90591347,1.233589433,0.731177446,2.066979882,-0.374451665,-1.083255954,-0.168207513,0.1188716611,0.0832899702
580.56,13.535,1.108092675,0.008651241,0.026579776,52.87144385,0.273728107,0.015669323,4.11562441,0.417306915,0.44145937,1.344416335,3.1115814792,-1.580902232,-2.182824891,-1.92116518,-1.343438413
311.38,6.875,2.012439278,0.04002813,0.063928944,30.3371123,0.249040867,0.007429421,5.550727376,0.685267556,4.06119403,1.101674497,3.3007351222,-1.328532614,-2.520173076,-2.338784414,1.2667090332
933.4,6.865,4.030311784,0.082380474,0.03895312,72.55122995,0.778482068,0.023774146,10.71906291,2.074942715,0.994195688,1.997349717,0.3080527626,-0.894210652,1.0412083575,0.4097987479,-0.111974916
353.66,16.25,2.086502762,0.041061114,0.065532896,46.30802139,0.373311093,0.013778198,6.76572832,0.986116727,1.089718076,1.539212143,2.9098046513,-1.409446275,-1.516284737,-2.043605631,-0.547973246
1222.01,17.205,3.06434093,0.223899282,0.033912128,73.71358289,0.783653044,0.011616912,9.80426979,0.186008896,0.28092869,0.754126009,-1.488037056,0.450386767,-1.284062583,-0.02576975,-0.693821147
1218.65,17.215,1.807835327,0.021305295,0.08248896,83.49796791,0.741951626,0.016209645,6.165690535,0.148267961,0.190547264,0.557764125,-1.681706076,-0.097551412,-1.637475321,1.2076696625,-0.653616593
685.83,8.545,8.624678484,0.429850467,0.168644096,69.26673797,0.456547123,0.013508037,8.579822407,0.577571101,0.736650083,1.852306951,-1.076596861,0.5002890553,0.6248622565,-0.6372898,-0.461846612
683.4,16.68,2.081897386,0.043945722,0.067391189,77.84610053,0.460437031,0.020475483,6.239913093,0.935500741,0.674769486,1.991788941,0.7597677409,-1.452614528,-0.210428342,0.1839010684,-0.941842154
347.37,9.285,2.690797885,0.062669848,0.160897008,63.55994652,0.435052544,0.019894637,8.623959947,1.374457474,1.091328358,2.475188532,1.1712291795,-1.44603336,0.3936409994,-0.571503926,-0.526682393
315.08,2.61,2.824135034,0.056168505,0.096924528,76.81668449,0.368974145,0.008510063,8.978084262,1.749022779,1.402819237,1.871943139,0.2402716783,-1.747788063,0.0671345518,0.2864639514,0.523385489
382.58,5.565,4.416042394,0.069517393,0.112748999,77.63132304,0.639476877,0.020037867,10.37817017,1.171720143,0.829633836,2.091261208,-0.425424415,-0.6856542,0.4481994806,0.535912978,-0.437011892
131.67,18.75,1.017195598,0.025854741,0.058917153,42.0639446,0.160199977,0.004503343,2.693381288,0.302685429,5.897189909,0.725957857,3.1191716287,-1.667585281,-3.011693666,-1.539885791,2.0406743795
692.43,8.55,16.51386939,1.481557302,0.050868192,59.19871658,0.346955796,0.006889099,6.340071793,0.331715865,0.64013267,1.755089748,-1.42322734,2.8013763008,2.853744059,-3.604944866,-1.118085625
913.11,6.415,2.565752129,0.048989266,0.083588813,57.58559144,0.283149291,0.003399973,8.883844701,2.843766006,0.81372471,2.105021082,0.9226470798,-2.322961336,0.3946269309,-0.413424415,1.306771394
869.45,5.125,10.73996592,0.075992759,0.244584349,48.52223316,0.817437865,0.003655275,5.381025883,2.781128184,0.706276949,1.996836526,0.5722568971,-0.856772975,0.7794513765,-0.193436044,2.2722927073
285.34,15.375,1.597798113,0.019626696,0.03207904,78.04791444,0.270725605,0.002296366,6.314188551,0.957945815,0.360696517,2.068184556,0.4518323877,-2.166141329,-1.023853814,0.088124491,-0.071253549
148.4,11.085,4.330426174,0.0903861,0.2978768,59.49967914,0.614512093,0.020126976,13.89268846,2.925057285,1.31840796,3.640645705,1.6540126216,-1.874482387,2.7110129237,-0.939740082,0.1150707778
426.64,6.335,2.084221474,0.037180268,0.06932042,79.19502064,0.345032842,0.013434976,7.448147839,1.050749739,1.228847111,2.227244287,0.5994670627,-1.819989992,-0.200640477,0.2487719177,-0.30981329
225.83,9.965,5.239491107,0.071663265,0.089133904,59.91379679,0.598498749,0.01094151,14.7071604,2.404232376,2.396849088,3.012769546,1.0823341724,-1.552031161,1.3210829004,-0.492978934,1.1739917751
367.98,8.435,2.762284876,0.051095262,0.123836551,68.71824385,0.402115096,0.013626908,7.822745135,1.442565036,1.268043118,2.621507047,0.0275724044,-1.662376027,0.4141522295,0.3510081606,0.3171257171
297.46,4.35,1.06262513,0.003098952,0.033453856,60.17347594,0.163469558,0.008374983,4.656905347,0.00849171,0.734494196,1.014576557,2.8093453455,-1.613430387,-2.868424503,-1.867728683,-1.191141474
346.66,5.39,4.403202841,0.083026089,0.118463312,54.16470588,0.382819016,0.020802377,12.17098054,1.615581615,2.865505804,2.567401518,0.8052676604,-0.998219059,0.7430218375,-0.478371004,0.618708266
385.03,8.945,3.045699237,0.039011932,0.127007793,63.17520642,0.410235196,0.012091044,9.105641413,0.92384014,1.42119403,1.85839176,1.6791582806,-1.329504298,-0.836423842,-1.092501857,-0.367451742
318.27,2.56,2.978267151,0.059783949,0.043764976,66.19379679,0.373978315,0.007834662,8.710561118,0.952284674,1.2026534,1.832911697,1.6782459706,-1.553893248,-1.037026885,-1.024311811,-0.255980978
346.33,5.53,4.270803639,0.082251351,0.125337392,68.08320856,0.548790659,0.019181413,12.56867561,1.658444534,1.711276949,2.939766293,0.8124379377,-1.301318202,1.1651488904,-0.280566932,-0.099545967
173.25,10.695,5.235487675,0.073341864,0.108152192,62.04192513,0.606839033,0.009860867,15.20083129,3.296940288,1.681757877,2.839898807,1.136074312,-1.845979254,1.9133641092,-0.437675975,1.3206309418
186.33,10.22,3.311587101,0.040342583,0.043063485,73.6275052,0.334104272,0.011352567,13.1766525,1.934453354,1.366457786,3.676173532,0.5927516053,-2.29730335,1.3701493798,0.1282870768,0.2536320849
666.28,16.03,2.318302882,0.044744993,0.057212968,68.96595508,0.498553795,0.022508443,4.756043831,0.949025475,0.582595357,1.756781111,-0.728022428,-0.877893979,-0.28164717,0.9360232928,-0.270092012
347.37,9.285,3.01250507,0.057812241,0.120610316,69.71305882,0.485442869,0.021772254,6.604099754,1.523229546,0.81584743,2.805490905,-0.047658507,-1.511215543,0.9573340293,0.6493163215,-0.147775126
378.34,4.13,5.072206287,0.067062613,0.241234381,69.47498182,0.584101751,0.011208969,13.96867372,1.778608977,1.681432836,3.240227683,1.1107396764,-1.566674895,1.2920349478,-0.699636819,0.1469853293
378.34,4.13,5.160946638,0.073051337,0.193244137,61.10245775,0.69712427,0.009278671,13.90721897,1.803144629,1.593286899,2.451733526,1.006234061,-1.050353032,0.5407722121,-0.940172717,0.4745154814
292.16,4.35,1.580497604,0.033959349,0.086384272,66.2344385,0.229858215,0.008915305,5.577366333,0.316889069,1.346434494,1.534754849,2.4498361626,-1.764348117,-1.889626808,-1.432671633,-0.817899639
158.02,19.19,2.690314091,0.043125792,0.029583994,73.24668053,0.372127364,0.014465049,7.517076656,0.506639659,1.866676522,2.001466891,1.6126613591,-1.520519584,-0.939238434,-0.50212496,-0.555381936
282.69,8.38,3.353302904,0.052036569,0.08478032,51.1373262,0.416847373,0.008510063,9.642168902,1.536056072,1.945771144,2.235995663,2.7391722158,-1.780594082,-0.549705141,-1.749992331,0.3290960019
150.97,20.09,0.143855256,0.001747143,0.011098484,5.436435621,0.020998722,0.001674485,0.448192071,0.062876587,0.135786512,0.120034872,3.3969837227,-1.058040237,-4.860972696,-3.669534215,-0.059113256
895.16,6.315,1.873182769,0.024792907,0.022168908,62.83648342,0.301279399,0.003890315,8.11119403,2.731496159,0.380558872,1.929004939,0.7888728113,-2.407640137,0.1097688107,-0.10085241,1.042527667
759.66,6.47,4.698831958,0.078949676,0.188239807,53.08580107,0.515678065,0.006928272,8.787840544,2.092532686,1.573325041,2.190263824,1.2575820415,-1.50066603,0.246913823,-0.889613149,1.088996624
130.18,11.595,1.935310308,0.045712124,0.197212772,34.5947893,0.29188824,0.006238012,6.223383714,1.654801186,5.734091211,1.832497289,2.8041129431,-1.942639541,-0.892362162,-1.51435142,2.6961112574
313.18,9.14,3.445025811,0.108870057,0.169785193,63.94638289,0.576608841,0.022877212,9.241479312,1.541981399,0.893112769,4.358307433,-0.255256308,-1.648977476,2.2288718898,0.4441806187,-0.20212476
318.27,2.56,2.871175356,0.025953723,0.028183728,79.32919786,0.297581318,0.006348778,8.144341583,0.853888664,0.781923715,1.735212625,-0.406515638,-1.459704536,-0.938787676,0.5300229479,0.0904666075
836.13,10.21,4.473405874,0.087932763,0.060033632,67.52406417,0.63352794,0.004322572,13.89382203,2.923574606,1.533996683,1.092518974,1.0938879073,-1.330358335,0.2598388153,-0.633542945,1.2373540754
293.01,15.95,2.733485905,0.041448483,0.110214416,49.50566845,0.511426188,0.007699581,9.962025316,2.137754414,0.81907131,2.992892423,2.724627698,-2.28658106,0.3151334105,-1.730866785,0.1993677831
290.17,15.75,3.789533969,0.068693436,0.158791248,63.18716578,0.860550459,0.005538295,11.78556584,3.035449521,0.839303483,3.423442959,1.5791071478,-2.355597885,1.8316698829,-0.608658786,0.9722829096
292.04,15.83,4.767658097,0.071921511,0.133357152,52.92106952,0.848206839,0.001485884,10.51558662,2.662488206,1.474958541,2.970124081,2.4435332646,-2.127832101,0.8186592201,-1.350231008,1.3220131065
303.16,11.035,3.82227632,0.065077992,0.118921584,53.89219251,0.480567139,0.013643118,9.702437181,1.894864537,2.192371476,2.029032647,2.5737732125,-1.578876531,-0.000581464,-1.440357941,0.4069424594
273.07,6.89,2.46382619,0.048292002,0.07676056,55.68363636,0.325604671,0.009725787,8.560740601,1.336837849,2.451575456,2.058908565,2.6494232092,-1.897535229,-0.740823891,-1.472938208,0.3311298369
933.4,6.865,3.860165941,0.074503971,0.146188768,64.1657754,0.706255213,0.028366878,9.930285282,2.115649009,1.000829187,2.24780147,0.3444204068,-0.836712929,1.3855161038,0.1982942594,-0.215559712
649.2,8.445,3.948241436,0.168892884,0.177351264,68.36748663,0.569808173,0.01796569,9.919516342,0.760479849,0.881094527,2.446572702,-1.075775507,-0.39928862,0.5063497778,0.1600770934,-0.40354822
354.89,10.89,1.713014049,0.039932579,0.079562893,64.46064171,0.258340284,0.008653249,10.24562441,2.636689581,0.784927032,3.534283821,0.5610443385,-2.790222172,1.4933499894,0.0980483523,0.7679691663
217.69,16.205,3.296040964,0.058289996,0.070321838,61.26208984,0.436885738,0.012077536,10.27251464,1.789788381,1.480396352,2.881023973,2.1737397298,-2.0541951,0.4432048388,-1.050500208,0.0417929659
209.96,11.225,6.925349021,0.136421032,0.397981736,49.93964706,1.133808173,0.028327705,12.62111846,2.790816822,1.598840796,1.895698109,1.6721364911,-0.014849217,2.0449396798,-1.326689888,0.1541480166
234.29,21.15,3.680573429,0.077587428,0.158165707,65.0014246,0.480717264,0.012642172,9.928003023,2.004193288,1.214484245,3.012412962,1.0204128497,-1.885736737,1.0926845736,-0.389255959,0.296662414
192.87,9.695,2.491917995,0.049534258,0.057779536,76.2210012,0.351582003,0.011934756,13.10829411,2.404677556,0.874262332,3.706358011,0.5022795977,-2.552713661,1.838226769,0.2609418601,0.1802900577
273.48,10.62,3.028809045,0.054922468,0.142639451,73.00323636,0.542160133,0.016108334,10.58991687,1.805062677,1.357383085,2.713832068,1.1949545212,-1.787220824,0.9138534182,-0.263727775,-0.17327153
1127.15,13.605,1.334529626,0.006688571,0.037241474,73.78504813,0.495105922,0.019469134,3.471184583,0.253321202,0.014870647,1.308974822,-3.778850421,-0.189420483,-1.051597342,2.5971737529,0.2186529638
326.65,4.57,4.987343546,0.093929235,0.306854348,64.55222674,0.594428691,0.006038093,14.87660873,2.705251382,1.792119403,3.14648717,1.1934641908,-1.85428315,1.8442087121,-0.936788814,0.9428399978
326.37,4.45,4.614905734,0.130691844,0.31758937,64.67914011,0.45948457,0.006768877,12.48482146,2.233543604,1.518623549,3.077036502,1.0249104413,-1.798607009,1.5139486657,-0.986614073,0.5561563213
326.37,4.52,4.446472788,0.068717969,0.227655781,66.83311872,0.482632193,0.005031744,12.20198564,2.506596576,1.194529022,3.328241176,0.9781250541,-2.222479421,1.553710993,-0.507915057,0.8303991376
307.16,4.665,2.34113245,0.048747806,0.260937785,62.38210267,0.433389491,0.011611509,10.03693369,3.009242486,1.007645108,2.444042886,0.6982412816,-2.124292494,1.4763056366,-0.229438958,0.8802101308
644.98,8.57,6.856162574,0.415905183,0.110672688,57.68106952,0.485237698,0.015534243,10.09181938,0.816956463,0.888059701,2.254186243,-0.733572595,0.2950223152,0.7717169942,-0.99350443,-0.373400556
1666.01,20.515,2.039176481,0.048550248,0.135877648,69.42096257,0.511592994,0.026205592,8.065558285,1.275778407,0.985074627,1.694133237,0.4389185681,-0.925888346,0.1429180802,0.0739155365,-0.777892116
1173.33,11.51,3.704604027,0.041448483,0.128545296,71.35165775,1.004503753,0.025124949,11.81976195,1.348968864,0.934825871,2.287314781,-0.887723275,-0.259360279,0.8553516395,0.8134281797,-0.257840484
1669.03,20.08,3.474692669,0.13428792,0.147563584,78.68748663,0.570141785,0.018776172,10.54033629,1.336163903,1.301658375,2.374051319,0.3410416893,-1.125822116,0.8520722725,-0.018345338,-0.555001893
327.78,9.205,4.898484522,0.118922283,0.21538784,63.18438503,0.645537948,0.015129002,12.32703571,1.214853754,2.260862355,3.74942778,0.9628718354,-1.331518793,1.3549100658,-0.674676003,0.107559871
1028.41,6.575,6.970832294,0.108334197,0.204389312,58.43764706,0.90442035,0.019046333,16.45380691,2.019544413,1.598507463,3.161787736,-0.361506501,-0.29399702,1.919282041,-0.15875648,0.5815750082
1028.41,6.575,6.001000989,0.091806453,0.226386368,60.91593583,0.899749791,0.021072538,13.84696769,2.093543604,1.36318408,2.609083243,-0.37119963,-0.339917066,1.6504688679,0.0726625382,0.4759321459
966.88,6.91,5.701315538,0.073212741,0.192015968,67.86802139,0.924603837,0.021342699,13.79444549,1.986925462,1.292868988,2.480424045,-0.493890183,-0.386392452,1.514495318,0.3837512603,0.3171287911
936.79,7.065,4.739062157,0.047646387,0.065074624,67.2059893,0.977814846,0.024314467,11.73776686,1.622860224,1.310447761,2.057944826,-0.145462043,-0.311178963,0.7178840908,0.4926155543,0.0714747489
227.11,10.09,3.230031872,0.062527929,0.14234909,66.21870024,0.47756189,0.019325745,11.88715965,2.597269098,1.643482562,2.545672507,1.7788405262,-1.886330171,1.4401870051,-0.60151595,0.1191053609
1583.48,19.64,3.461182518,0.063399393,0.17557546,71.62867807,0.62533945,0.020807781,6.234787455,1.155200162,0.834762852,2.186653415,-0.56077879,-0.902470996,0.4258118943,0.7444088174,-0.147515672
924.19,15.46,2.55278673,0.069128581,0.043130269,79.4491508,0.710435363,0.023521545,8.013602872,0.97672193,0.718849088,1.66996145,-0.510394059,-0.656531773,0.0058374737,0.8397434334,-0.693700318
