PEDON_ID,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,CaO,Na2O,MgO,K2O,Fe2O3_mol,MnO_mol,P2O5_mol,SiO2_mol,TiO2_mol,ZrO2_mol,Al2O3_mol,CaO_mol,Na2O_mol,MgO_mol,K2O_mol,lCaO,cl_MAP,cl_MAT,Till,SubglacialTill,lCaO_mol,PRESS,factor1,factor2,factor3,factor4
96P0283,4.45,0.07,0.23,66.83,0.48,0.01,12.20,2.66,2.51,1.19,3.33,0.28,0.01,0.01,11.12,0.06,,1.20,0.47,0.40,0.30,0.35,0.98,326.37,4.52,,,-0.755022584,-170.6624085,-1.73847954,1.9124535322,-0.705781668,-0.048804031
96P0284,4.25,0.06,0.25,63.87,0.55,0.01,15.43,2.91,2.73,1.92,2.18,0.27,0.01,0.01,10.63,0.07,,1.51,0.52,0.44,0.48,0.23,1.07,309.85,4.59,,,-0.653926467,-307.0136357,-1.023527332,1.5777845989,-1.005092545,-0.205485194
96P0286,2.34,0.05,0.26,62.38,0.43,0.01,10.04,2.01,3.01,1.01,2.44,0.15,0.01,0.01,10.38,0.05,,0.98,0.36,0.49,0.25,0.26,0.70,307.16,4.665,,,-1.021651248,-171.0375202,-1.898255644,1.6654736902,-0.735367323,0.3834429243
96P0287,5.39,0.08,0.26,57.70,0.63,0.00,10.93,2.76,1.86,2.11,2.73,0.34,0.01,0.01,9.60,0.08,,1.07,0.49,0.30,0.52,0.29,1.02,463.53,3.865,,,-0.713349888,-297.5679424,-0.918871779,1.1767731668,-0.493425572,0.6770976832
96P0288,5.07,0.07,0.24,69.47,0.58,0.01,13.97,3.04,1.78,1.68,3.24,0.32,0.01,0.01,11.56,0.07,,1.37,0.54,0.29,0.42,0.34,1.11,378.34,4.13,,,-0.616186139,-235.5475966,-1.249498497,1.4557448921,-0.501692194,-0.313098779
96P0289,5.16,0.07,0.19,61.10,0.70,0.01,13.91,2.74,1.80,1.59,2.45,0.32,0.01,0.01,10.17,0.09,,1.36,0.49,0.29,0.40,0.26,1.01,378.34,4.13,,,-0.713349888,-399.1821408,-0.594686481,0.9900365229,-0.512135952,-0.114491279
96P0290,2.60,0.03,0.13,72.41,0.27,0.01,13.55,1.43,2.05,0.97,4.71,0.16,,,12.05,0.03,,1.33,0.25,0.33,0.24,0.50,0.36,433.33,3.26,,,-1.386294361,216.26096725,-2.547828479,2.4251508512,-0.897759673,-0.932032664
96P0291,5.24,0.07,0.19,65.11,0.61,0.00,14.50,2.43,1.90,2.21,3.93,0.33,0.01,0.01,10.84,0.08,,1.42,0.43,0.31,0.55,0.42,0.89,530.39,2.49,,,-0.84397007,-39.15092398,-1.44828559,2.1256940062,-0.728879776,-0.064147027
96P0306,4.01,0.02,0.04,65.13,0.43,0.02,7.96,0.34,0.09,0.49,1.17,0.25,,,10.84,0.05,,0.78,0.06,0.01,0.12,0.12,-1.08,772.3,17.74,,,-2.813410717,-286.4644004,0.0627304977,-1.281900903,0.8943511486,-0.174468146
96P0307,3.50,0.02,0.03,54.92,0.44,0.02,7.03,0.27,0.09,0.44,1.03,0.22,,,9.14,0.06,,0.69,0.05,0.01,0.11,0.11,-1.31,772.3,17.74,,,-2.995732274,-331.5683034,0.2588333708,-1.461554957,0.728348205,0.1325638492
96P0308,3.21,0.02,0.02,70.37,0.35,0.01,5.03,0.23,0.08,0.28,0.90,0.20,,,11.71,0.04,,0.49,0.04,0.01,0.07,0.10,-1.47,772.3,17.74,,,-3.218875825,-268.482413,-0.289818545,-1.494801089,1.2805097186,0.1757991934
96P0337,4.67,0.07,0.10,83.57,0.76,0.02,11.26,0.56,0.69,0.83,2.10,0.29,0.01,,13.91,0.10,,1.10,0.10,0.11,0.20,0.22,-0.58,1201.87,13.94,,,-2.302585093,230.43620913,-0.459750394,0.0929548806,1.1017036233,-0.418333589
96P0338,3.67,0.07,0.08,78.68,0.67,0.02,9.74,0.43,0.64,0.67,1.86,0.23,0.01,,13.10,0.08,,0.96,0.08,0.10,0.17,0.20,-0.84,1201.87,13.94,,,-2.525728644,263.43261527,-0.5785641,-0.238978547,1.0607063869,-0.274367826
96P0339,4.44,0.08,0.10,85.41,0.74,0.02,10.16,0.45,0.89,0.77,1.97,0.28,0.01,,14.22,0.09,,1.00,0.08,0.14,0.19,0.21,-0.80,1201.87,13.94,,,-2.525728644,263.47779061,-0.669959161,0.1604596627,1.1508391348,-0.261511275
96P0340,3.32,0.05,0.05,88.26,0.72,0.03,8.98,0.64,1.12,0.58,1.97,0.21,0.01,,14.69,0.09,,0.88,0.11,0.18,0.14,0.21,-0.45,1201.87,13.94,,,-2.207274913,336.62738655,-1.033313173,0.2429922304,1.2025252318,-0.140192463
97P0254,10.94,0.15,0.17,44.92,1.71,0.01,9.66,7.48,1.46,9.94,0.29,0.68,0.02,0.01,7.48,0.21,,0.95,1.33,0.24,2.47,0.03,2.01,1950.99,16.105,,,0.2851789422,307.54197955,1.7870855975,0.5668228142,-0.930424398,4.7919408513
97P0393,3.42,0.06,0.14,62.01,0.58,0.02,9.73,3.11,0.97,2.57,2.44,0.21,0.01,,10.32,0.07,,0.95,0.56,0.16,0.64,0.26,1.13,669.78,16.14,,,-0.579818495,-116.5451746,-0.923137635,0.1961963991,-0.087339033,0.6805436072
97P0394,2.32,0.04,0.06,68.97,0.50,0.02,4.76,0.48,0.95,0.58,1.76,0.15,0.01,,11.48,0.06,,0.47,0.09,0.15,0.14,0.19,-0.73,666.28,16.03,,,-2.407945609,-206.2514184,-1.068803413,-0.377966268,0.9751839905,0.6842019096
